text;emotion
i was i admit very worried about feeling isolated i work in a cubicle pretty much on my own unless someone needs me;sadness
im feeling like life is fairly sweet;love
i am going to clean the slate by unilaterally forgiving those i feel have wronged me or someone i love intentionally or through carelessness so that i thereby in time can forget the perceived insults and abuses;anger
i feel like each year i teach i get more passionate about my job find more love for my kids and want to try even harder;love
im not one of those people who can bury all their feelings and anger just in a second giving out a sweet smile even when in pain and anger;love
i knew it was the holy spirit at work plus it feels divine in the gooooood way like a massage reassuring me;joy
i feel as though ive reached a point in my career where im highly respected there;joy
i make light of it but sometimes i feel really awkward in small groups and in one on one conversations;sadness
ive had a lot of good days where i feel fabulous and have lots of energy but lately ive also had some bad days where i feel gigantic and slow and clumsy;joy
i also feel like if google hated seo we d know it;sadness
i didnt get a wink of sleep that night and continued feeling not so fabulous the next morning;joy
i feel like you feel this is a mistake but time is fucked up sleep won t take;anger
i love sliding down on a nice big throbbing cock and feeling what my gorgeous body does to a man;joy
i found myself in the novel position of feeling a bit uncertain about the stock market rally;fear
i feel like she s judging me and he s not here and i don t want to seem like the needy girl so i don t know;sadness
im definitely feeling festive;joy
i feel burdened by her presence;sadness
i still feel a little dazed and have that sort of disbelieving feeling of oh my god;surprise
i am feeling super excited as the weeks seem to be flying by and we are getting closer and closer to our due date;joy
i have turned that page i feel like there is no way of getting back my irresponcible years of carefree college;joy
i have a few favourites of my own but the choice of book is up to you or you can have a dvd if you are us or uk im feeling generous so the limit is up to which is about something like that;love
i am feeling more energetic more alive happier than i have in a long time;joy
i feel really pathetic confronted with some;sadness
i feel there are dangerous games or activities;anger
i feel a world class player in the benzema mould would be fantastic;joy
i am feeling terribly burdened by impending anxiety i am trying to just keep my eyes on the prize;sadness
i feel could be unpleasant is layered with love healing forgiveness and the expectation that things will turn out well;sadness
im feeling gloomy as i have completed nothing though im supposed to complete many things;sadness
i am not working out the amount i would like to i feel like my lifestyle change has been successful so far;joy
i love the porn industry and i feel satisfied and fulfilled working in it i have to say that it doesn t really bring in the big bucks;joy
i overhear the victory tune on some geeks ringtone i feel triumphant;joy
i love children s literature authors who don t feel the need to dumb down things for kids;sadness
i was soo quiet it was a mixture of not sleeping well and feeling a bit isolated from the big group;sadness
i do feel that they are greedy and money hungry absolutely;anger
i feel so fucked up now i want to shut myself up;anger
i feel very passionate about a certain topic i love backing up my position with actual knowledge and facts instead of relying solely on opinions;joy
i feel like today is way suffering than the exam day which we have to open books everytime we went home;sadness
i feel surprised by how down it makes me;surprise
i woke up the morning of our hike feeling jubilant;joy
i feel like a little kid whose mom is proud that they touched the soccer ball once during the game;joy
i feel miserable on the inside but on the outside i just like i;sadness
i must find a way to accept these limitations until they are older without feeling held back or resentful;anger
i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things;joy
i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us;anger
i know those feelings stem from this part of me that is not accepted mainstream more importantly in the communities to which i seek belongingness;joy
i really like how the special edition really does feel special with songs on it;joy
i feel as if i must blog constantly for all my loyal fans the baker thia sandwich the scruncher and of course mini t rex;love
im currently feeling way fucked up with the mother tongue paper;anger
i feel your innocent love;joy
i feel like having that sweet carby yet low glycemic meal not just at breakfast but often for dessert;joy
i feel safe encoding utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlinks link rel alternate type application atom xml title i could use a standing ovation could you;joy
i really lose a lot of my nesting homemaking instinct and desire when i am pregnant and the longer im pregnant the worse it gets though i do get about a month reprieve where i feel creative again around the six month mark and youll notice that is when i did a post for halloween;joy
i feel as if this opportunity to return to moz is gods gracious gracious way of giving me that heat desire despite my own self doubt and uncertainty in the past;joy
i feel really lucky to have found you as a resource and have always felt the answers i needed were there for the asking;joy
i keep running up the hill and fitness wise feel fine but along with my foot my calves are starting to now hurt also as they begin to tire;joy
i am always so sensitive and my every sense feels like it is being assaulted as i drag myself away from the darkness;fear
i supposed i ought to feel thankful for that adding with a sarcastic edge at my age;joy
i couldnt help but feel totally distraught and utterly helpless when lorena was kidnapped and tortured almost to death by a band of enemies i was desperate for her freedom;fear
i feel i was unfortunate with both mister magnum and sounds of cheers travelling well for long periods of the race;sadness
i feel tortured and tragic enough as it is without having any importance or sparkle;anger
i feel selfish thinking this way but i feel so lonely at times;anger
i feel drained of energy;sadness
i just think about all the day i chatted with my mom amp also feeling horny and masturbate myself;love
i am feeling pretty stinkin shitty for being such a horrible reviewer;sadness
i feel helpless about it;sadness
i was feeling awful on sunday;sadness
i dont know why but i had started to feel the weird pressure of a largely silent audience and with it a falsely inflated sense of importance in expressing myself and my ever so articulate opinions to said audience;surprise
i just woke up from my nap and i feel extremely agitated and grumpy;fear
ive been studying really hard for it and discovering pretty words that never crossed my mind and how they portray the exact meaning and i feel like ive missed out a lot;sadness
i feel lonely at work im not a social bird as i usually am when i was in school;sadness
i love comments so feel free to post one;joy
i feel intimidated by the great women in my family tree;fear
i truly feel that they do a lot of positive things to help the conditions for the workers and their families kids;joy
i think this may be the reason i would want to fly back to uae because there i can be oblivious of these conflicts that plague me conflicts that i feel helpless resolving;sadness
i saw the video of cena kissing maria and surprisingly i didnt feel like i hated her;sadness
i feel like i have been rather unkind to it;anger
i was not feeling submissive;sadness
i do feel a bit obnoxious it is definately the weather;anger
i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath;anger
i had been indifferent to tell the feelings and words i had treasured ever since the feeling start to bloom are one of the moments i want to keep;love
i feel hes being very casual with my entire future;joy
i was still feeling strong but i missed a couple lifts;joy
i sat on my couch for several hours feeling pretty low;sadness
i checked on you was a long time ago i can say you were happy way back then feeling contented with everyone and everything around you;joy
i write him when something big has happened like a fun trip or milestone and other times i just write him to tell him how im feeling about his sweet baby snuggles or growing personality;joy
i hate the expectation that i must need a man in my life to feel worthwhile or valued;joy
i did feel that loving kindness allow us to think and feel how our conscious and how we interact with various things in the body and mind;love
i feel completely blessed to be a part of this group;love
im the type who doesnt use a moisturizer as my skin is too oily so this product is designed to contain a ton of moisturizing ingredients that will make my skin feel lovely without oils;love
im afraid im in an environment that makes me feel more relaxed cause;joy
i am feeling overwhelmed i want to physically shake everything off me the way i would if there was a spider in my shirt;surprise
i will say that a little piece of me feels agitated when i watch discussions on race and there will i style color font family georgia serif font size px line height;fear
i can feel but i cant touch you said my love was a bit too much i wont deny it broke my heart cant find no crush so why dont you come on back home;sadness
i feel a little frustrated an ache of longing has settled into my heart the weariness of life his slipped around my shoulders like an unwelcome friend;anger
i even remember trying them on last year and feeling crappy because i was nowhere near closing them;sadness
i broke my uncles radio player accidentally and so i feared that he was going to cut me off from going to his house as well as playing it again;fear
i have been feeling conflicted on whether or not i as a follower of christ should celebrate the ever popular pagan originated modern day holidays;joy
i was feeling impatient and took pills;anger
i feel carefree and weightless and yet worried and grounded all at the same time;joy
i feel he is sincere and repentant for his past opposition to civil rights;joy
i did at one point put my son in daycare but my mom constantly made me feel like a terrible parent because of it;sadness
i only have a few things on my list i feel super guilty and can t relax;joy
i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation;fear
i feel like i am really valuable to him;joy
i feel like my go to emotion is angry;anger
ive had too much training in grammar and language and reading something written like this kind of feels like im being assaulted;sadness
i is feeling insulted because everyone is comparing sneha with her;anger
i still wake up every morning feeling so blessed to be here and unable to believe im lucky enough to be able to call this amazing family mine for life;joy
i feel as if the leaders of countries do not depict the people of their countries because for the love of god i hope no one thought at all i was in any way supportive or like george w;love
i was feeling really horny all afternoon with no one to fulfill ma sexual desire and only had my bed and creative thoughts to help me out and not forgetting my handss which aahhh work like magic;love
i know scones are not a must have food but i am determined to live a frugal lifestyle without feeling deprived;sadness
i giggle nervously when i feel threatened;fear
i feel that horrible helplessness to make things better for them and that feels like it will kill me inside;sadness
i have a few more of these but after taking pictures of my house i feel it is far too messy to post photos online so ill clean up a bit before i post those;sadness
i feel hated loathed;sadness
i picked up feeling a little apprehensive;fear
ive been feeling very numb;sadness
im feeling every bit the spiteful vindictive bitch i can be at times;anger
i got a feeling by the look in her eyes that she was sincere;joy
i feel assured that my mind is not one;joy
i feel that is very unfortunate that i dont own the soundtrack;sadness
i can t believe it i feel so nervous but my father reassures me that there is nothing to be nervous about which only makes me more nervous;fear
i feel uptight my day is complete when hes around i feel so right a little nervs i dream about what we can do date and all the things we can pursue wedding i always dream that your mine very day min;fear
i didn t think that it would come that fast or would come at all but i suppose it is because i feel cranky today;anger
i have the feeling that im going to be stubborn about it;anger
i feel lonely and lost;sadness
i would feel empty;sadness
i start to feel agitated lacking in patience and just down right cranky;anger
i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad;anger
i am so feeling so rich and yup i know i am so blessed;joy
i didnt tell you because i didnt want you to feel afraid;fear
i love some of it the media coverage but sometime i feel they put an ugly picture;sadness
i feel as though i am being a little neglectful of my fellow bloggers;sadness
i sort of hate glasses because they make my eyes look small and since huge eyes is all i have going for me it was quite an upset but im hoping these bigger frames will make me feel less paranoid;fear
i cant believe the moment where i feel the most useful is when im washing the dishes;joy
i feel distressed music on my mind rewrite fma op;fear
im feeling quite lonely here now and its only monday of half term;sadness
i feel really socially awkward and dont like to get out and meet new people and do things in groups and be adventurous;sadness
i admire athleticism i feel like i would be more entertained if i got to watch severely out of shape people participate in olympic events;joy
i feel horrible because i feel horrible made worse by the fact that i havent gotten to workout;sadness
i would hate to be bit imagine if the secretary is feeling irritable that day eh;anger
i feel it and im unhappy;sadness
i feel like they take time to care for their flowers and are wonderfully loyal to their hive;love
i remember feeling amazed;surprise
i know that i will never see this place again and that would break my heart had not a thick layer of moss encased it in a thick shell muffling all other sharper feelings pleasant or painful;joy
i am a nameless mid s bottom law school graduate who finds himself marginally attached and awash in a sea of overeducated but underpaid indentured peers who feel and were duped by the promise of a better life through debt and modern chemistry;joy
i truly feel what you all contribute to the blog world especially with regard to educating writers is so valuable;joy
i feel like it would be too clever and get into a ton of things all the time;joy
i know shes right because i feel more energetic awake patient and happy when im running daily but i still feel a little bad too because i believe breast milk is so much better for babies than formula;joy
i quickly trotted off he added i feel embarrassed to ask hoping i would enter into some kind of conversation with him;sadness
i hated that when i got drunk the whole next day was spent sleeping and feeling groggy;sadness
i love the discussions in the class and feel passionate about feminist issues but when i go to write it down it feels as though i am faking it;love
i would want to welcome into my home if i end up feeling my mommyhood threatened by my inability to breastfeed my baby;fear
i feel agitated and the result is not pleasant the opposite of calm and peaceful;anger
i feel so honored that students come to my classes;joy
i often tell him that i want attention from him especially when i feel horny and want to have good sex for hours;love
i get an anxious feeling i feel xox soon itll be the real thing already so i need to be flawless;joy
i feel very rich very blessed very joyful;joy
i had horrible anxiety dreams every night last week and it made me feel really paranoid and of course all of that reading about conspiracy theories and unsolved crimes online didnt hugely help matters;fear
i truly feel but its somehow not enough for me to hate him or to get mad;anger
i remember feeling uncertain about myself when i was young and especially when i became a teenager;fear
i feel is that i cant get far enough away from what feeds melancholy for long enough that it would just wither and die off;sadness
i want to enter in defiance but coming from a different culture i feel offended that i am not allowed;anger
i was feeling rebellious so i ate it;anger
i do feel agitated restless or on edge quite often;anger
i feel uncomfortable using the word awesome but this idea actually is;fear
im feeling rather pleased with myself tonight because i did that;joy
i feel like this leads me to be not as gentle and kind as i should be;love
i feel like i should have actively hated every single second rather than just borne it all;anger
im feeling indecisive and it scares me;fear
i feel a violent tug at my eye socket;anger
i feel so carefree nowwwwww;joy
i believe that what was displayed is a deep emotional yearning for semblance of normality peace since it appears the dancing arabs did not feel threatened by a fully armed soldier;fear
i was left feeling discouraged and hopeless once again;sadness
i feel that this is going to get very messy to get fixed and back on the road again;sadness
i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run;anger
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot;joy
i was tempted to feel a little bitter but then i saw this;anger
i feel kind of insecure here anyways back to doha;fear
i am grateful that i no longer feel a frantic urge to fix the emotional upsets of those around me;fear
i feel about strange brew;surprise
i feel quite strongly that students should be punished due to how well or badly they have faired compared to a completely unrelated group of people;sadness
i want to have a job where i am permanent and where i feel like i am valued;joy
i care about someones emotional spiritual and intellectual progress to the point where i feel like i should exert myself in that progress and its important to me that is love;joy
i will actually feel comfortable speaking to others in just japanese i feel pretty happy about my current progress;joy
i learned about different things like how family plan the arrangements and even how real the pain can feel when a loved one passes on;love
i feel at least dating them would not be in vain;sadness
i like keeping a record of my life in written form and pictures and i feel like that is even more important now that i have baby;joy
i do not feel unhappy miserable wretched glum gloomy forelorn or heartbroken;sadness
i really am feeling horribly irritable and a little bit depressed;anger
i feel more than honoured to be part of this series and join all these wonderful and talented ladies in a celebration of the womanhood;joy
i feel more confident about this team right now than i did four hours ago;joy
i simply said how sorry i am and just got out from her car and got into my house feeling restless;fear
ive been feeling a bit paranoid like its really noticable that im off and that everyone can see that;fear
i feel have a fabulous birding weekend everyone;joy
i am at the bus stop and i hear the squeak of a baachan trolley i feel a little paranoid;fear
im feeling rushed and like i should have planned certain things this summer that i can no longer do;anger
i feel that cold breeze;anger
i try to breathe in when i feel frustrated and breathe out the calm that i desire;anger
i feel the language of the warning is pretty benign but i am open to your suggestions on how to improve it;joy
i knew where things was headed but that didnt really prepare me for the heartbreak even i would feel my heart broke for danielle and all other military wives that have had to go thru losing their husband trying to protect our country;sadness
i suddenly feel a lot smarter and more talented than i did last night;joy
i get into what it actually does i feel like everyone should buy it just because it smells amazing;joy
i feel as though i cant bear the motion of quilting it even though the idea of it delighted me so only a few days ago;joy
i feel heartless now feeling bored and not believe in love anymore;anger
i ended up shoeless making me feel even more vulnerable and slowing me down further;fear
i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business;anger
i refers of course though i cant help feeling somehow ironically in retrospect to loudons son with kate mcgarrigle the rather talented himself rufus wainwright;joy
i feel lonely few days before my birthday;sadness
i feel like i captured all his sweet looks;joy
i had envisioned and intended im just feeling unsure whether i got that vision and intention right;fear
i feel like i need cute pictures to share;joy
i was feeling so low about myself;sadness
i feel really angry sometimes because for the love of god havent we been through enough;anger
i feel sorry for rafael bosch;sadness
i hope for is that those certain people can attend to more important things in their lives but still come back to blogging if they feel they missed blogging;sadness
i do not feel comfortable staying in my house i feel relentless when im asked to do something tired almost all the time and bored without my own money;joy
i guess im feeling generous today and so i have decided to offer a fabulous deal on of my most popular prints at the moment;joy
i begin to feel unpleasant about anime fandom in general;sadness
i feel tender and disoriented;love
i am feeling really carefree and today was really carefree;joy
i am feeling miserable and sick but hoping that with the amount of sleep i am getting i havent had much choice i have had zero energy cold meds vitamins and lots of fluids i have high hopes to feel better tomorrow;sadness
im feeling cranky and horrible;anger
im more comfortable in a relationship because i wont feel as slutty being with one person having the same amount as i would if i were single or not;love
i feel troubled because of the ongoing relocation of our front door;sadness
i asked him what was making him feel so fabulous and he said i m healthy my family is healthy and we live in a free country;joy
i woke up feeling incredibly content amp optimistic today however i woke up with a terrible cold and a complete lack of energy;joy
im feeling a combination of terrified and relieved;fear
i really feel i was wronged as a patient;anger
i feel that gulam ali is even more talented than many other classical singers;joy
i be the go to guy for someone who wants a genuine guy who would treat them right and spend quality time with them and make them feel special;joy
i think we all feel very passionate about our favorite workout gear and i love seeing what other people love need have to have can t live without so i am hoping you will share your favorites in the comments;love
i feel strange with it because it started to be sale;surprise
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed;fear
i feel so shaken and guilty for not being a better mother and shielding my offspring from this health problem;fear
i feel like a greedy little traitor i m looking looking among these covers hey little snotface take me;anger
i feel like i was a rude ass hole at hookah;anger
i feel for my beloved that is reciprocated;love
i feel heartbroken for bryan;sadness
i feel like i had fake everything;sadness
i would feel differently if i believed that the leaders were perfectly truthful;joy
i cant help but feel a longing to be outside more to feel the rain on my skin and sticky tree droppings on my feet;love
i was made to feel like it was my fault that i couldn t control my husband and his violent behavior if they even believed it existed;anger
i feel like its important to reveal lessons youve learned in tough times along with ones youve learned in awesome times when you are endeavoring to build an audience through honesty and authenticity;joy
i feel disgusted when need to act cute like the actions of gwiyomi;anger
i said i feel incredibly thankful on the whole;joy
i feel inspired and eager to press on when the sun shines;joy
im just hoping i can walk by then because my thighs are not feeling at all friendly today;joy
i was feeling nervous sure just like anyone else would be in my position;fear
i was older i might not feel as frightened about spending the time i have left alone;fear
i must say that i feel that i accepted something of a poisoned chalice;love
im an introvert by which i mean i get re energized being alone and preferably in a quiet place so times in the crew galley when there are a lot of people in a relatively small place all talking at once can leave me feeling drained and in need of a dark room with nothing but whale noises;sadness
im feeling generous ill give you a story as well;love
i find this scent pretty generic i actually feel like bath amp bodyworks didnt invest much time in this collection like they created sweet on paris then decided to throw together two other predictable scents;joy
i like the person i have become because i feel so much more carefree and liberated but at the same time i dont recognize myself;joy
i feel numb right now i thought i was feeling angry but now i dont know i dont feel anything should i be sad should i be happy or angry i dont know how to feel anymore;sadness
i just feel so discontent about my life these days;sadness
im starting to not buy the whole everything happens for a reason bit or god has a plan b c i feel that god is love and theres no way that he would torture me and other women like weve been tortured dealing w fertility issues;anger
i feel truly impatient that this is taking so long;anger
i want to say how i want to feel just come out so bitter and angry;anger
i know what it feels like to face irate customers;anger
i have always had people in my life who have gone out of their way to put me down trip me up or make me feel as if i were completely moronic or not worthy enough;sadness
im feeling fine;joy
i prep myself for another sleepless night i can t help but feel ashamed of myself for feeling this way;sadness
im feeling quite pleased this week;joy
i still feel shaky is because in the worst hit areas the damage and destruction is so complete;fear
i wouldn t throw it in the ocean but i don t feel i would have missed something in my career if i don t win an oscar;sadness
i feel privileged to have narrated erik princes autobiography civilian warriors the inside story of blackwater and the unsung heroes of the war on terror which will be released this monday nov th;joy
im not used to feeling the dependency or the neediness for being needy is not me or at least wasnt prior to recently;sadness
i am feeling hopeful and looking forward once again;joy
i feel it is because mccarthy isn t at that place yet in her career where she can really consistently humanize a character while balancing out the fact they are supposed to be funny;surprise
i feel uncertain and uneasy;fear
i feel so comfortable around him;joy
i feel privileged having the opportunity to be a part of it all;joy
i feel nervous about going back to america not knowing what to expect the transition to be like;fear
i started to feel kind of skeptical about this myself;fear
i love this little boy and sometimes i feel how inadequate i am as a parent to him;sadness
i keep these things predominantly for fix functions and will not arranged right now to create a style applying twelve months previous ingredients until i m feeling much more perverse than usual;sadness
i havent worked out today but i feel like im just not going to feel it ive been so stressed at work and just in life that this week is just bad;anger
i feel sad and discouraged;sadness
i thought having a well respected and recognized mother of autistic boys would be the perfect guest blogger with a message i feel passionate about;love
ive been coursing through cycles of happiness to a feeling of being mellow to a feeling of being really depressed to being mellow again and then back to the beginning;joy
im feeling amazed with my california ness at the moment currently sitting by the pool drinking a wine spritzer out of nagalene connecting via google wifi and using stellarium to figure out the stars;surprise
i probably couldn t go back to washington permanently once the baby is here at least not for a while although i have been torn for a while about whether i want to yes bleu i know how you feel about this but i m still not completely convinced;joy
i also feel a strange sense of guilt about all the people who arent similarly situated to move to a different neighborhood;surprise
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out;joy
im feeling agitated and pour more brandy on my coffee;fear
i feel that way considering most people are pretending to be the way they are and very very few are being sincere;joy
i feel it gives even more period feel and detail than sharpe and is certainly good enough to read cover to cover;joy
i feel like i have reached a plateau where im not buying as much as i use to and feeling more satisfied with my wardrobe and personal style;joy
i learned the hard way and after being here for about three hours you ll feel like you ve been here for months from all the friendly people you ll stop and talk to;joy
i feel like i shouldn t be that amazed with a degree in biology i was blown away;surprise
is that you feel it more than hear it and the vibrations are so gentle that it doesnt bother me;love
i feel very unhappy and incomplete;sadness
i am pretty certain we will use this name as a middle name if its a girl as it has such a special feeling to it and the connection with his her poppy is so lovely to me;love
i feel that something wonderful is going to happen;joy
i feel rejected and unwanted;sadness
im getting is that since i feel that i accepted the mark of the beast when they shot me up and i thought they where going to kill me and i screamed so loud that i didnt want to die;joy
i try not to let their ignorance get to me if i have the energy and it feels important sometimes ill engage them in a little light debate and try and to broaden their view of the world;joy
im feeling lousy i may dismiss a gorgeous day if im feeling bright and cheerful then the most dreary of days becomes tolerable;sadness
i am going to assume a moral obligation to find a way to make sure i feel pretty damn rich every day;joy
i thought i would very sweetly cover over what i was really feeling and say something pleasant about all the bad things he had done whatever they were;joy
i have an ironic feel i dont feel anything special but i still smile broadly whenever he tells me something;joy
i really like him he has good morals and is very nice to me and respectful but its like i feel like i still belong to brad and i couldnt picture myself with eric because hes too innocent;joy
i sense this is wat has let you feeling unsure;fear
i am feeling very apprehensive about the future at the moment;fear
i am not a very extremely good friend of someone of course i feel reluctant to some extent if i have to do favours for that someone;fear
i was sleeping in my room but woke in the middle of the night to think i could hear noises and see shadows moving i felt that someone was in the house;fear
i sometimes feel resentful that this has come into our lives at this time;anger
i began feeling amorous towards everyone on stage towards the people around me as i experienced the moment with them;love
i sometimes feel disheartened when i realise just how far from my own culture i am;sadness
im so overwhelmed with feeling blessed by you i have to pray the fears of this being the last time i say happy birthday to you;joy
i feel very popular and also a little pressure to keep it up which is exactly what i need;joy
i feel hopeless and out of control;sadness
i feel horrible that i had to cancel on one of my best guy friends but the trip was stressing me out because my babysitting hours got cut and i couldn t afford it;sadness
i climbed a mountain and made my way to a village where the people stared at me the children looked frightened and ran away and everyone i came across asked me why i was there in such a way as to make me feel unwelcome;sadness
i dont feel inhibited and i can work out my problems;sadness
i took a chance and kept crying in hopes she might feel benevolent;joy
i have done so in hopes of being inspiring while at the same time looking for solace from people rather than god and for proof that maybe i can do something good while i feel so horrible;sadness
im feeling melancholy with all the back to school stuff today;sadness
i begin to have these doubts my stomach clenches my heart races and i feel fearful;fear
i liked that ros is not intimidated by anna s wealth and that anna doesn t feel guilt or superior about her wealth and that she enjoys it;joy
i feel like i have been really cranky at school these days;anger
i watch her gather her little blocks and tuck them under her belly like a little red hen coo and cuddle her soft baby doll and look with interest at other babies i can t help but feel thrilled that she s our firstborn;joy
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain;joy
i walia feels suspicious about tarun and bani;fear
i do not feel like i am hostile toward others just that i fail to be nice to them;anger
i feel glad to have my little blog to share with you the dangers i see on the path ahead;joy
i wake up feeling cranky and out of sorts;anger
i say that i feel like im being tortured by him;anger
i cant help looking back on the child i was and feeling rather jealous but i am also delighted to be living in a time when a nine year old child in some parts of the world can read a thousand books a year if she he wishes and is able to;anger
im feeling a bit cranky today;anger
i even dare to say that some of the biggest stiller and or vaughn haters still could get some enjoyment out of this movie and not feel annoyed by their performances and characters;anger
i make punjabi lobia masala mostly during winters as i feel the protein punch and spice rich recipe is a winter warmer one;joy
i had then these were truly terrifying and still feel shaken and uneasy because of them;fear
i begin to feel burdened by things amp long to be empty again;sadness
i write on this space i feel quite nostalgic and my mind races back to the good old days when i used this as a daily haven to park my learnings and memories;love
i feel so numb f;sadness
i sit here tonight i m pensive tense and feeling a little fearful;fear
i want someone i know to know all my thoughts and feelings or do i want to keep all my loyal and faithful readers;love
i feel more joy and anticipation of all that is my divine right;joy
i was feeling so overwhelmed that i asked my bqff to keep of them at her house until theyre ready to be loaded so i dont feel so behind;surprise
i feel thrilled to be able to investigate my own personal mythology around this subject;joy
i feel creative right now and it makes me happy;joy
i could wear on a casual shopping trip to feel fabulous without even trying;joy
i want others to be happy but does that mean i step back yet again it feels like and allow them to be happy because they deserve it or do they even deserve it or do i;joy
i am limiting myself to what i can reasonably do without causing greater injury but i have to do some sort of physical exercise or i start to feel horrible about myself;sadness
i would always feel amazed at how impacted these and year olds were by this subject;surprise
i feel so lucky to live in portland land of delicious food;joy
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better;anger
i didnt feel the cold up there because we had a fire every night;anger
im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there;anger
i folk if im feeling sociable;joy
i feel these divine forces so strongly sometimes i wonder if agnostics atheists and judeo christian fundamentalists have any feeling or excitement in their hearts;joy
i started to feel discouraged at the thought of being there more than one day;sadness
i feel like maybe he is going to stop loving me or maybe its true and im a terrible wife;love
im already feeling sentimental about his time as a newborn as he was so wee and has sadly outgrown some fave thrifted outfits;sadness
i feel like ive been in a more innocent version of a one night stand;joy
i finish typing this post i realise i m ok no longer do i feel annoyed angry or even sad;anger
i refuse to rate the book but if she and her publisher feel snobbish then take it from me when i say jeanette winterson cannot write and essentially does not do wish to do anything with the scope to explore;anger
i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts;anger
i felt sad and apprehensive and angry that i d had vertigo and that it had left me feeling uncertain;fear
i feel like ive got a handle on trusting my instincts;joy
i feel so complacent and start thinking that i am so smart;joy
i have admitted defeat and asked the other half to come back from the lake coz i just feel so uptight already;fear
i feel if journalists then blamed me;sadness
i missed about a month combined of classes and was pretty much bed ridden for months of the semester i feel really amazed that i was able to pass;surprise
i put my leg around yours and wrap my arms under yours for me to feel safe again;joy
i feel more loyal to lucy;love
i feel like im not pretty enough like my personality is too boring and obnoxious;sadness
i am so relieved and excited and i feel confident again;joy
im proud of but having crafted something that other people care about even just enough to click through to makes me feel so wonderful;joy
i have switched songs as that one was beginning to make me feel a little melancholy and who the fuck needs that;sadness
i feel embarrassed to talk to him at times because i feel very small in those moments like he is doing me a favor and i do not deserve to be given attention;sadness
i sound so entitled but you cant help but to feel disappointed even though you already knew you were going to be;sadness
i remember feeling how my husband felt when i would see people being rude to my mom and mom just being her sweet self to them;anger
i feel more clever;joy
i was feeling remorseful about my breakfast and so i took a diet pill;sadness
i feel as though the concept of lifestyle change rather than weight loss has been beaten to death but it really is something that i believe in and am currently experiencing;sadness
i do not know what my next steps are but i no longer feel lost;sadness
i have been feeling awful;sadness
i believe just imagining what it would be like to act live in front of an audience will make me feel joyful;joy
i thought maybe it was just my hands feeling funny but i touched my hair with my totally clean forearm and it became sticky;surprise
i hate the moment when i completely feel perfect with people around me whom i love the most suddenly disappear;joy
i remember feeling a little jealous and realized that our time together wasnt solely about me but that he has a larger network of social interactions all ready in progress before i got there;anger
im known to feel affectionate toward those who adore leonard cohen is what makes me like him quite a lot;love
i feel really tranquil where i am right now;joy
i feel impatient yet i am not fully sure what i am searching for;anger
i was on my own tearful and feeling unloved even though i know that i am;sadness
i feel like after everything ive been nothing but sincere what bothers me the most is that you wanted to hurt me you even told me;joy
i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought;anger
i was starting to feel a little stressed;sadness
i have to admit i am feeling a bit intimidated by the challenge of;fear
i think i was feeling vulnerable due to the stress of having to buy a new sewing machine and printer;fear
i feel ashamed to have not read it yet;sadness
i hear about a teenaged girl devastated by the pimple on her face the morning of prom i feel devastated for her;sadness
i woke up on a beautiful sunday morning feeling restless and miserable;fear
i feel unwelcome at work sometimes and think people might be talking about me rel bookmark i feel unwelcome at work sometimes and think people might be talking about me april a class url fn n href http www;sadness
i dont need to wear a mask because at this moment i can show all my feelings to my beloved without missgivings;love
i couldn t turn my head away even when i feel frightened;fear
i feel like i should go to the supermarket and buy something totally delicious for dinner with the money my mother put in my account today;joy
i feel fine e terminando com eight days a week um ano depois;joy
i feel the most uncertain about the project;fear
i feel vital full of energy every day and super positive;joy
i feel i am completely dissatisfied with the whole world and all human characters are inconsistent;anger
i mean how would you feel if euan got hauled in for murder but you knew he was innocent;joy
i have experimented lots of the experiences she mentions and sadly this made me realize that most women feel that their career paths are somehow going to be determined by their partners if they support them or not their children ther co workers etc;joy
i knew from high school and he s pretty fuckin chill says that the girl feels insulted and threatened by the blog that i wrote and would like me to apologize and if i offended her i m sorry;anger
i don t feel that talented at impacting how things end up at the moment;joy
i find myself feeling happy more and more and it feels so very good;joy
